joke,"He smiled thinly , savoring his joke ."
inflamed,"He's been warbling in severe pain ; ; a medico's injection inflamed a nerve , and Johnny can barely walk ."
unleash,"`` E '' stands for `` execution '' -- the moment a `` go order '' would unleash an American nuclear strike ."
comparing,"If Af was assigned as the information cell for Af , the routine can detect that Af is identical to Af by comparing Af with the form stored at location Af ."
southpaw,"The 22-year-old southpaw enlisted earlier last fall than did Hansen ."
fatherly,"He was fatherly in his handling of all subjects with me and tremendously wise in his counsel ."
havoc,"Mr. Bates shows us how this mutual education spreads its inevitable havoc ."
seating,"There were unclaimed square miles of seating space around them , but he appreciated the kindliness of her gesture none the less ."
rakish,"And the automobiles that stream out of Hanover each weekend , toward Smith and Wellesley and Mount Holyoke , are no less rakish than those leaving Cambridge or West Philadelphia ."
pocketful,"I had a pocketful of money , which was unusual when I was in the army , and the plane would be grounded all night ."
quirk,"It is not a medieval mental quirk or an attitude `` unnourished by sense '' to believe that husbands and wives should not be subjected to such a risk , or that such a possibility should not be permitted to endanger the confidentiality of the marriage relationship ."
gambit,"I could see the ancient cynicism reinforce itself in her eyes , and I wondered how many men she had picked up with this same gambit ."
lit,"He found a match in his pocket and lit it ."
blasting,"`` Virdon has been blasting the ball ."
befoh,"`` Just befoh he left foh his academeh we wuh hevin dack-rihs on the vuhranduh , Major Roebuck an Ah , an Huhmun says ' May Ah hev one too ' ?"
giant,"He felt strong as a giant ."
cringed,"They cringed under sodden covers , listening to the waves slop against the bottom ."
bich,"I think you made a dam good chouise to turn off as nise a feler as Alf Dyer and let that orney thefin , drunkard , damed card playing sun of a bich com to sea you , the god damed theaf and lop yeard pigen tode helion , he is too orney for hel ."
soften,"The tendency for general business activity to soften somewhat is becoming more evident ."
nuclide,"No comparable reductions in the cost of nuclide radiation are foreseen ."
nervously,"For an otherwise silent moment , Jim's keys jingled nervously in his pocket ."
violent,"You're not the kind to go violent ."
able,"It was nice to be able to isolate it ."
nay,"It is she who says aye or nay to the intimate questions of sexual technique and mechanics -- not the husband ."
should,"Why should I ?"
vomica,"Although science has given us more effective materials , preparations from anise , castorbean , colchicum , nux vomica , mustard , fennel , and stramonium are familiar to many for the relief of human ailments ."
staying,"A combo was staying there ."
garlic,"We sent the waiter away and ate a tremendous amount of cold ham , hot hard-boiled eggs and hot garlic bread ."
them,"Fuck them ."
brand,"`` This ain't your brand , maybe '' , Lord suggested ."
cape,"As he neared the square , a round figure muffled in a long , black cape whisked by ."
vendor,"There she walked to the far left and leaned on a vacant section of banister , while the vendor picked himself another well-dressed American lady , carrying a camera and a handsome alligator bag , ascending the steps alone ."
miscount,"Wexler had charged the precinct judges in these cases with `` complementary '' miscount of the vote , in which votes would be taken from one candidate and given to another ."
worshiped,"They hail from Travancore , a state in the subcontinent where Kali , the goddess of death , is worshiped ."
sampled,"The maximum distance sampled was 23 miles from the source ."
sixth,"A sixth element , not always considered , is intelligence ."
chanted,"They chanted a fixed tune in time to the report of the stick ."
sliced,"He tried again and once more sliced out of bounds ."
stringed,"A stringed orchestra played softly behind the potted palms , and Delphine circulated graciously among her guests , chatting airily of the forthcoming races , the latest fashions from Paris , and Louisiana politics ."
stumble,"It was an odd combination a strange pair to stumble upon the wreck of the Trinidad ."
camped,"They were camped beside a large column-shaped boulder : a man , his lubra , and two children ."
legion,"Standing then with the others , peering into the sun , he saw the bright , multicolored legion , their hair flying like dark banners , only the thunder , the roll of drums , the mad cacophony of the hoofs accompanying them ."
puke,"degrees from Harvard University and who before the war was headmaster of a private school for boys in Louisiana , wrote his wife : `` I saw Pemberton and he is the most insignificant puke I ever saw ."
awoke,"When she awoke , she was the ship ."
jist,"`` Hell , I jist ask her '' ."
hearing,"He strained his hearing ."
flask,"Purified inactive chlorine was then added from one of the tubes described above and the mixture frozen out and sealed off in a flask equipped with a break seal ."
fox,"`` Not this old fox '' , chuckled Uncle Randolph ."
phonic,"We speculate that compulsives in the unstructured schools are under greater strain because of the lack of systemization in their school setting , but that their need to organize ( for comfort ) is so intense that they struggle to induce the phonic rules and achieve in spite of the lack of direction from the environment ."
meant,"I meant it ."
suzerain,"Underneath all the high-sounding phrases of royal and papal letters and behind the more down-to-earth instructions to the envoys was the inescapable fact that Edward would have to desert his Flemish allies and leave them to the vengeance of their indignant suzerain , the king of France , in return for being given an equally free hand with the insubordinate Scots ."
typed,"Experts say the partners in marriages like these can almost be typed ."
natch,"When no one smiled , he felt constrained to add , `` Just kidding , natch '' ."
quaint,"She developed another quaint habit ."
obligated,"In some ways it was worth being out the money -- just knowing I was no longer obligated to Nadine !"
quagmire,"And Jarrodsville was more than three miles away , down an old dirt road that the rain had turned into a quagmire ."
hearty,"Menshikov hit Washington with a TV announcer's grin and a hearty handclasp ."
scream,"There was no mistaking that scream ."
clap,"Still a quarter-mile away , the fresh clap of guns only served to increase his speed ."
foul,"The air smelled warmish and foul ."
holder,"From its holder he took his own canteen ."
